title,price,area,rooms,floor,comandat,link,location
"Apartament 5 camere, decomandat, 140 mp, centrala gaz, zona Brancoveanu",500,140 mp utili,5 camere,Etaj 2,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/brancoveanu/apartament-de-inchiriat-5-camere-XA8B0000I?lista=2350118,"Timisoara, zona Brancoveanu"
"NOU, COCHET- PRIMA INCHIRIERE- Bloc IRIS 6 - 2019",430,54 mp utili,2 camere,Etaj 6/8,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/torontalului/apartament-de-inchiriat-2-camere-X02K0001G?lista=2350118,"Timisoara, zona Torontalului"
Apartament ultracentral,580,115 mp utili,4 camere,Etaj 1/3,Circular,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/ultracentral/apartament-de-inchiriat-4-camere-XAFP10006?lista=2350118,"Timisoara, zona Ultracentral"
Apartament 3 camere -Balcescu,550,80 mp utili,3 camere,Etaj 3/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/balcescu/apartament-de-inchiriat-3-camere-X6EG0001A?lista=2350118,"Timisoara, zona Balcescu"
APARTAMENT 3 CAMERE BUCOVINA,600,80 mp utili,3 camere,Etaj 2/3,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/bucovina/apartament-de-inchiriat-3-camere-X47N10028?lista=2350118,"Timisoara, zona Bucovina"
"De inchiriat apartament cu 2 camere, complet renovat - Iulius Mall",400,50 mp utili,2 camere,Etaj 7/10,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/circumvalatiunii/apartament-de-inchiriat-2-camere-X1BR10032?lista=2350118,"Timisoara, zona Circumvalatiunii"
"Apartament 1 camera, modern - Complex Rezidential Uranus",340,48 mp utili,o cameră,Etaj 2/7,Semidecomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/soarelui/garsoniera-de-inchiriat-X4OV00118?lista=2350118,"Timisoara, zona Soarelui"
Apartament cu 1 camera in Calea Aradului aproape de Facultatea de Agronomie,280,50 mp utili,o cameră,Etaj 2/4,Decomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/aradului/garsoniera-de-inchiriat-X7FS0002E?lista=2350118,"Timisoara, zona Aradului"
Apartament de Lux prima inchiriere cu 3 camere bloc nou zona Aradului Selgros,720,70 mp utili,3 camere,Parter,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/aradului/apartament-de-inchiriat-3-camere-X9FK0003O?lista=2350118,"Timisoara, zona Aradului"
Apartament de lux in bloc nou cu 2 camere langa Kaufland Dumbravita,600,55 mp utili,2 camere,Parter/3,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/nord/apartament-de-inchiriat-2-camere-X1BR1003H?lista=2350118,"Timisoara, zona Nord"
Apartament select,490,52 mp utili,2 camere,Etaj 6/8,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/aradului/apartament-de-inchiriat-2-camere-X47N10012?lista=2350118,"Timisoara, zona Aradului"
2 camere ULTRACENTRAL Lux,480,50 mp utili,2 camere,Etaj 6/8,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/ultracentral/apartament-de-inchiriat-2-camere-X6SD1000I?lista=2350118,"Timisoara, zona Ultracentral"
De inchiriat apartament nou 3 camere Adora Forest,450,53 mp utili,3 camere,Etaj 2/11,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/nord/apartament-de-inchiriat-3-camere-X1BR1002G?lista=2350118,"Timisoara, zona Nord"
"Complex, mobilata nou, utilata",180,24 mp utili,o cameră,Etaj 1/3,Nedecomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/complex-studentesc/garsoniera-de-inchiriat-X5R30000P?lista=2350118,"Timisoara, zona Complex Studentesc"
"Apartament cu 3 camere, Take Ionescu",380,48 mp utili,2 camere,Etaj 4/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/take-ionescu/apartament-de-inchiriat-2-camere-XA8000008?lista=2350118,"Timisoara, zona Take Ionescu"
Apartament 3 camere langa IULIUS MALL,450,76 mp utili,3 camere,Etaj 1/8,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/centrul-bancar/apartament-de-inchiriat-3-camere-X47N10058?lista=2350118,"Timisoara, zona Centrul Bancar"
Apartament la casa in Zona Mehala amenajat- loc parcare !,300,48 mp utili,2 camere,Parter/1,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/mehala/apartament-de-inchiriat-2-camere-X18900037?lista=2350118,"Timisoara, zona Mehala"
Banu COnstruct - Loc parcare subteran - decomandat,380,50 mp utili,2 camere,Etaj 2/5,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/aradului/apartament-de-inchiriat-2-camere-X18900012?lista=2350118,"Timisoara, zona Aradului"
"Spitalul Judetean, 1 Camera, Centrala Proprie",230,40 mp utili,o cameră,Etaj 1/3,Semidecomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/spitalul-judetean/garsoniera-de-inchiriat-X8I50005E?lista=2350118,"Timisoara, zona Spitalul Judetean"
"Braytim, Apartament de lux, Prima inchiriere!",600,85 mp utili,3 camere,Etaj 2/3,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/braytim/apartament-de-inchiriat-3-camere-X84C10036?lista=2350118,"Timisoara, zona Braytim"
"Apartament cu o camera in Zona Soarelui, Complex Uranus",360,43 mp utili,o cameră,Etaj 7,Decomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/soarelui/garsoniera-de-inchiriat-X9MC00009?lista=2350118,"Timisoara, zona Soarelui"
"Central, foarte atractiv pentru locuit",290,40 mp utili,2 camere,Parter/4,Nedecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/circumvalatiunii/apartament-de-inchiriat-2-camere-X56J0005S?lista=2350118,"Timisoara, zona Circumvalatiunii"
2 cam dec. - Soarelui,300,55 mp utili,2 camere,Etaj 4/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/soarelui/apartament-de-inchiriat-2-camere-X6SD10032?lista=2350118,"Timisoara, zona Soarelui"
Apartament 2 camere-Medicina!!,475,52 mp utili,2 camere,Etaj 4/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/medicina/apartament-de-inchiriat-2-camere-X6UV1001U?lista=2350118,"Timisoara, zona Medicina"
Steaua - 3 camere - centrala proprie - 350 euro,350,65 mp utili,3 camere,Etaj 5/5,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/steaua/apartament-de-inchiriat-3-camere-X9RO000IQ?lista=2350118,"Timisoara, zona Steaua"
Soarelui Spital Judetean 2 camere decomandat Centrala Mobilat Utilat,340,55 mp utili,2 camere,Etaj 1/6,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/soarelui/apartament-de-inchiriat-2-camere-X8600000T?lista=2350118,"Timisoara, zona Soarelui"
Apartament frumos in Piata Victoriei,450,50 mp utili,2 camere,Etaj 6/8,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/p-ta-victoriei/apartament-de-inchiriat-2-camere-X56J000BD?lista=2350118,"Timisoara, zona P-ta Victoriei"
"Sagului-Doina, amenajat, mobilat modern, utilat",300,42 mp utili,3 camere,Parter/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/sagului/apartament-de-inchiriat-3-camere-X5R30000O?lista=2350118,"Timisoara, zona Sagului"
"Soarelui - Braytim, bloc nou, loc de parcare !",360,55 mp utili,2 camere,Etaj 1/2,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/girocului/apartament-de-inchiriat-2-camere-X4OV001IQ?lista=2350118,"Timisoara, zona Girocului"
"Birou Piata Unirii, 55mp, complet mobilat!",360,55 mp utili,2 camere,Etaj 2/3,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/p-ta-unirii/apartament-de-inchiriat-2-camere-X6UV10046?lista=2350118,"Timisoara, zona P-ta Unirii"
Apartament in bloc nou zona Take Ionescu,900,110 mp utili,3 camere,Etaj 1/6,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/take-ionescu/apartament-de-inchiriat-3-camere-X47N10025?lista=2350118,"Timisoara, zona Take Ionescu"
"Apartament lux , zona rezidentiala",380,50 mp utili,2 camere,Parter/3,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/girocului/apartament-de-inchiriat-2-camere-X42O0001P?lista=2350118,"Timisoara, zona Girocului"
Apartament 2 camere zona Aradului,300,52 mp utili,2 camere,Etaj 1/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/aradului/apartament-de-inchiriat-2-camere-X47N1004L?lista=2350118,"Timisoara, zona Aradului"
3 cam Balcescu,500,68 mp utili,3 camere,Mansarda/2,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/balcescu/apartament-de-inchiriat-3-camere-X6SD1001K?lista=2350118,"Timisoara, zona Balcescu"
Spatiu pentru birouri - Piata Unirii,800,100 mp utili,4 camere,Etaj 2,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/ultracentral/apartament-de-inchiriat-4-camere-X1BR10084?lista=2350118,"Timisoara, zona Ultracentral"
APARTAMENT ZONA LIDIA,500,100 mp utili,4 camere,Etaj 3/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/lidia/apartament-de-inchiriat-4-camere-X47N10041?lista=2350118,"Timisoara, zona Lidia"
"Odobescu, 3 camere, totul nou",500,82 mp utili,3 camere,Mansarda/1,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/odobescu/apartament-de-inchiriat-3-camere-X84C100D1?lista=2350118,"Timisoara, zona Odobescu"
"Apartament la prima inchiriere, lux, cu lift personal, in zona Balcescu",1.000,135 mp utili,3 camere,Etaj 2/2,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/balcescu/apartament-de-inchiriat-3-camere-X1BR1003I?lista=2350118,"Timisoara, zona Balcescu"
Apartament cu 3 camere de inchiriat in zona Bucovina,400,65 mp utili,3 camere,Etaj 3/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/bucovina/apartament-de-inchiriat-3-camere-X1BR1008Q?lista=2350118,"Timisoara, zona Bucovina"
qp o camera casa Girocului,150,25 mp utili,o cameră,Etaj 1/4,Decomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/girocului/garsoniera-de-inchiriat-X96100003?lista=2350118,"Timisoara, zona Girocului"
Apartament 2 camere Zona Aradului,380,56 mp utili,2 camere,Parter/1,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/aradului/apartament-de-inchiriat-2-camere-X17L101I5?lista=2350118,"Timisoara, zona Aradului"
"PC075, Apartament 2 Camere , Centrala Proprie , Judetean",360,50 mp utili,2 camere,Parter/1,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/spitalul-judetean/apartament-de-inchiriat-2-camere-X7SO0006T?lista=2350118,"Timisoara, zona Spitalul Judetean"
Take Ionescu 3 camere 450 euro,450,60 mp utili,3 camere,Etaj 8/10,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/take-ionescu/apartament-de-inchiriat-3-camere-X4NI001AS?lista=2350118,"Timisoara, zona Take Ionescu"
"700 mp de Iulius Mall - , mobilat si utilat, et. 1, zona retrasa/linistita.",380,56 mp utili,2 camere,Etaj 1/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/circumvalatiunii/apartament-de-inchiriat-2-camere-X4OV000F9?lista=2350118,"Timisoara, zona Circumvalatiunii"
2 camere zona Centrala,400,75 mp utili,2 camere,Etaj 1/3,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/neptun/apartament-de-inchiriat-2-camere-X6GI1000H?lista=2350118,"Timisoara, zona Neptun"
Tipografiilor 2 camere 350 euro cu centrala,350,50 mp utili,2 camere,Parter/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/tipografilor/apartament-de-inchiriat-2-camere-X4NI0001U?lista=2350118,"Timisoara, zona Tipografilor"
"3 camere, 2 bai, Unirii - Fac. Arte&Design;, ULTRACENTRAL !",750,80 mp utili,3 camere,Etaj 1/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/ultracentral/apartament-de-inchiriat-3-camere-X4OV0011Q?lista=2350118,"Timisoara, zona Ultracentral"
Complex Studentesc Ap 3 camere Modern,500,90 mp utili,3 camere,Etaj 3/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/complex-studentesc/apartament-de-inchiriat-3-camere-X7PS0003J?lista=2350118,"Timisoara, zona Complex Studentesc"
"AT063, Apartament 2 Camere, Centrala Proprie, Zona Braytim",480,55 mp utili,2 camere,Parter/3,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/braytim/apartament-de-inchiriat-2-camere-X7SO0002J?lista=2350118,"Timisoara, zona Braytim"
"Plavat II, decomandat, centrala termica",370,65 mp utili,3 camere,Etaj 3/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/plavat-ii/apartament-de-inchiriat-3-camere-X41F10038?lista=2350118,"Timisoara, zona Plavat II"
Complexul Studentesc - se cauta coleg de apartament - etaj 2 - centrala - clima,200,70 mp utili,o cameră,Etaj 2/4,Decomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/complex-studentesc/garsoniera-de-inchiriat-XAUR00004?lista=2350118,"Timisoara, zona Complex Studentesc"
Apartament cu 3 camere de vanzare - zona Ultracentral - Piata VICTORIEI,1.000,165 mp utili,3 camere,Etaj 4/4,Semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/timisoara/ultracentral/apartament-de-vanzare-sau-de-inchiriat-3-camere-X1BR10056?lista=2350118,"Timisoara, zona Ultracentral"
Dambovita 2 camere LUX in spate la Nora 300 EURO,300,50 mp utili,2 camere,Etaj 3/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/dambovita/apartament-de-inchiriat-2-camere-X4NI0001A?lista=2350118,"Timisoara, zona Dambovita"
Apartament 2 camere Complexul Studentesc,320,48 mp utili,2 camere,Parter/4,Nedecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/complex-studentesc/apartament-de-inchiriat-2-camere-X9OS0000U?lista=2350118,"Timisoara, zona Complex Studentesc"
"Apartament de inchiriar , Circumvalatiunii",370,40 mp utili,2 camere,Etaj 2/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/circumvalatiunii/apartament-de-inchiriat-2-camere-X7U000087?lista=2350118,"Timisoara, zona Circumvalatiunii"
Bloc nou - foarte spatios - renovat complet - prima inchiriere!,500,60 mp utili,2 camere,Etaj 3/5,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/braytim/apartament-de-inchiriat-2-camere-X89S001C8?lista=2350118,"Timisoara, zona Braytim"
"PC167 Apartament 3 Camere , Parcare Proprie , Zona Lipovei",450,72 mp utili,3 camere,Etaj 5/11,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/lipovei/apartament-de-inchiriat-3-camere-X7SO0006A?lista=2350118,"Timisoara, zona Lipovei"
"3camere, 2 dormitoare, mobilat nou + sufragerie. Complex Studentesc - Stadion.",425,70 mp utili,3 camere,Etaj 7/8,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/complex-studentesc/apartament-de-inchiriat-3-camere-X4OV000RD?lista=2350118,"Timisoara, zona Complex Studentesc"
Braytim - 2cam- mobilat-utilat-centrala-parcare -350 Euro,350,50 mp utili,2 camere,Etaj 2/2,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/braytim/apartament-de-inchiriat-2-camere-X89S001A8?lista=2350118,"Timisoara, zona Braytim"
"2 CAMERE LUX,centrala,langa mall",300,54 mp utili,2 camere,Etaj 1/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/lipovei/apartament-de-inchiriat-2-camere-X4A30002D?lista=2350118,"Timisoara, zona Lipovei"
"Apartament 2 camere in vila, zona Balcescu",400,75 mp utili,2 camere,Parter/1,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/balcescu/apartament-de-inchiriat-2-camere-X6CI10014?lista=2350118,"Timisoara, zona Balcescu"
Apartament cu 4 camere de inchiriat in zona Central,800,95 mp utili,4 camere,Etaj 8/8,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/central/apartament-de-inchiriat-4-camere-X1BR10029?lista=2350118,"Timisoara, zona Central"
Ap prima închiriere - utilități incluse ! Zona Modern,350,50 mp utili,2 camere,Parter/1,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/dorobantilor/apartament-de-inchiriat-2-camere-X9VN0000H?lista=2350118,"Timisoara, zona Dorobantilor"
"Zona Complex, Mobilat, Utilat",200,28 mp utili,o cameră,Parter/3,Nedecomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/complex-studentesc/garsoniera-de-inchiriat-X5R300009?lista=2350118,"Timisoara, zona Complex Studentesc"
"Complex rezidential deosebit, spatios, mobila de calitate, loc parcare inclus.",450,62 mp utili,2 camere,Parter/3,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/nord/apartament-de-inchiriat-2-camere-X4OV000MB?lista=2350118,"Timisoara, zona Nord"
Dambovita - 4 camere - decomandat - Garaj - Centrala pr - 450 euro,450,90 mp utili,4 camere,Etaj 3/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/dambovita/apartament-de-inchiriat-4-camere-X9RO00058?lista=2350118,"Timisoara, zona Dambovita"
3 camere-Complex The Ring-Loc parcare subterana,470,75 mp utili,3 camere,Etaj 2/6,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/aradului/apartament-de-inchiriat-3-camere-XAB80000D?lista=2350118,"Timisoara, zona Aradului"
"ARADULUI,2 camere,la 3 minute de Iulius Mall",400,50 mp utili,2 camere,Parter/3,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/aradului/apartament-de-inchiriat-2-camere-X7U000086?lista=2350118,"Timisoara, zona Aradului"
Apartament 2 camere Soarelui,450,70 mp utili,2 camere,Etaj 3/6,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/soarelui/apartament-de-inchiriat-2-camere-X17L100MF?lista=2350118,"Timisoara, zona Soarelui"
"AT067, Apartament 3 Camere, Etaj Intermediar, Zona Lipovei",400,65 mp utili,3 camere,Etaj 2/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/lipovei/apartament-de-inchiriat-3-camere-X7SO000E3?lista=2350118,"Timisoara, zona Lipovei"
APARTAMENT FRUMOS MOBILAT CU CENTRALA IN PIATA OPEREI!!!!,350,60 mp utili,2 camere,Etaj 1/7,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/central/apartament-de-inchiriat-2-camere-X4PP10091?lista=2350118,"Timisoara, zona Central"
Complexul Studentesc Garsoniera 220 Euro,220,26 mp utili,o cameră,Etaj 2/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/complex-studentesc/garsoniera-de-inchiriat-X7PS00020?lista=2350118,"Timisoara, zona Complex Studentesc"
lux si calitate in Braytim,390,45 mp utili,o cameră,Parter/3,Decomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/braytim/garsoniera-de-inchiriat-X47N1002S?lista=2350118,"Timisoara, zona Braytim"
"Odobescu,1 camera, etajul 1, loc de parcare",300,36 mp utili,o cameră,Etaj 1/1,Decomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/odobescu/garsoniera-de-inchiriat-X84C100C7?lista=2350118,"Timisoara, zona Odobescu"
Apartament 2 camere Zona Torontalului,430,51 mp utili,2 camere,Etaj 3/5,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/torontalului/apartament-de-inchiriat-2-camere-X17L101IT?lista=2350118,"Timisoara, zona Torontalului"
"PC152 Apartament 3 Camere , Modern , Zona Soarelui",500,72 mp utili,3 camere,Etaj 1/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/soarelui/apartament-de-inchiriat-3-camere-X7SO000HE?lista=2350118,"Timisoara, zona Soarelui"
"2 camere, renovat, la prima inchiriere, in zona Torontalului",400,47 mp utili,2 camere,Etaj 4/10,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/torontalului/apartament-de-inchiriat-2-camere-X1BR1001K?lista=2350118,"Timisoara, zona Torontalului"
Apartament cu 2 camere in zona Sagului,300,52 mp utili,2 camere,Etaj 7/10,Decomandat,https://www.imobiliare.ro/vanzare-apartamente/timisoara/sagului/apartament-de-vanzare-sau-de-inchiriat-2-camere-X9BR10020?lista=2350118,"Timisoara, zona Sagului"
Medicina- 4 cam Dec+ 2 Bai- Modern Amenajat- 750 Eu,750,107 mp utili,4 camere,Etaj 2/10,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/medicina/apartament-de-inchiriat-4-camere-X89S001SC?lista=2350118,"Timisoara, zona Medicina"
Apartament cu 3 camere de inchiriat in zona Take Ionescu,900,110 mp utili,3 camere,Etaj 1/5,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/take-ionescu/apartament-de-inchiriat-3-camere-X47N1003K?lista=2350118,"Timisoara, zona Take Ionescu"
"PC151 Apartament 1 Camera , Spatios , Zona Gheorghe Lazar",330,32 mp utili,o cameră,Etaj 10/10,Decomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/gheorghe-lazar/garsoniera-de-inchiriat-X7SO000CH?lista=2350118,"Timisoara, zona Gheorghe Lazar"
"PC166 Apartament 3 Camere , Centrala Proprie , Zona Telegrafului",440,86 mp utili,3 camere,Etaj 4/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/telegrafului/apartament-de-inchiriat-3-camere-X7SO00050?lista=2350118,"Timisoara, zona Telegrafului"
Apartament 2 camere LUX Aradului,400,65 mp utili,2 camere,Etaj 2/6,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/aradului/apartament-de-inchiriat-2-camere-X7U000049?lista=2350118,"Timisoara, zona Aradului"
Pretabil pentru investitie,380,55 mp utili,2 camere,Parter/4,Semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/timisoara/complex-studentesc/apartament-de-vanzare-sau-de-inchiriat-2-camere-X47N1006B?lista=2350118,"Timisoara, zona Complex Studentesc"
"Apartament 2 camere semidecomandat, 53 mp, Modern",360,53 mp utili,2 camere,Etaj 2/8,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/telegrafului/apartament-de-inchiriat-2-camere-X9OS00044?lista=2350118,"Timisoara, zona Telegrafului"
"PC149 Apartament 3 Camere , Centrala Proprie , Zona Take Ionescu",480,54 mp utili,3 camere,Etaj 3/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/take-ionescu/apartament-de-inchiriat-3-camere-X7SO00018?lista=2350118,"Timisoara, zona Take Ionescu"
Aprtament tip Studio amenajat Lux în zona Braytim (Mures),380,40 mp utili,o cameră,Parter/3,Decomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/braytim/garsoniera-de-inchiriat-X9V41000A?lista=2350118,"Timisoara, zona Braytim"
"PC165 Apartament 2 Camere , Modern , Zona Girocului",380,52 mp utili,2 camere,Etaj 4/5,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/girocului/apartament-de-inchiriat-2-camere-X7SO00030?lista=2350118,"Timisoara, zona Girocului"
Bloc Nou in oras cu parcare. Complet mobilat si utilat,320,41 mp utili,2 camere,Etaj 1/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/fabric/apartament-de-inchiriat-2-camere-X0Q610FUE?lista=2350118,"Timisoara, zona Fabric"
"Apartament 2 camere Girocului, bloc nou.",360,60 mp utili,2 camere,Etaj 1/2,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/girocului/apartament-de-inchiriat-2-camere-X9OS0004S?lista=2350118,"Timisoara, zona Girocului"
"PC076, Apartament 3 Camere , Spatios , Zona Medicina",450,100 mp utili,3 camere,Etaj 1/1,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/medicina/apartament-de-inchiriat-3-camere-X7SO00079?lista=2350118,"Timisoara, zona Medicina"
Apartament modern,400,60 mp utili,2 camere,Etaj 2/8,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/aradului/apartament-de-inchiriat-2-camere-X56J0006T?lista=2350118,"Timisoara, zona Aradului"
Spatios. Central . Mijloace de transport.,450,85 mp utili,3 camere,Etaj 2/2,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/iosefin/apartament-de-inchiriat-3-camere-X9B91003O?lista=2350118,"Timisoara, zona Iosefin"
Apartament de inchiriat in zona linistita!,250,54 mp utili,2 camere,Etaj 2/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/gheorghe-lazar/apartament-de-inchiriat-2-camere-X9BR10019?lista=2350118,"Timisoara, zona Gheorghe Lazar"
APARTAMENT CU 2 CAMERE ZONA PCT CARDINALE 850 EURO,850,104 mp utili,2 camere,Etaj 2/2,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/punctele-cardinale/apartament-de-inchiriat-2-camere-X8MV0003G?lista=2350118,"Timisoara, zona Punctele Cardinale"
Apartament lux cu 3 camere de inchiriat in zona Medicina,1.200,110 mp utili,3 camere,Etaj 4/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/medicina/apartament-de-inchiriat-3-camere-X1BR1005B?lista=2350118,"Timisoara, zona Medicina"
"Piata Unirii, 150 metri utili. Renovari de calitate. Include Ctr. A.F.P.",1.200,150 mp utili,4 camere,Etaj 1/2,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/p-ta-unirii/apartament-de-inchiriat-4-camere-X4OV001IM?lista=2350118,"Timisoara, zona P-ta Unirii"
Apartament cu 3 camere in zona Dambovita,340,67 mp utili,3 camere,Etaj 3/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/dambovita/apartament-de-inchiriat-3-camere-X9OS0004F?lista=2350118,"Timisoara, zona Dambovita"
"Apartament 3 camere, Ultracentral, pozitie excelenta",400,85 mp utili,3 camere,Etaj 4/8,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/ultracentral/apartament-de-inchiriat-3-camere-X41F100JC?lista=2350118,"Timisoara, zona Ultracentral"
Apartament cu 3 camere de inchiriat in zona Take Ionescu,480,100 mp utili,3 camere,Etaj 1/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/take-ionescu/apartament-de-inchiriat-3-camere-X47N1007L?lista=2350118,"Timisoara, zona Take Ionescu"
"APARTAMENT MODERN, FRUMOS MOBILAT IN ZONA COMPLEX OLIMPIA!!!!",300,60 mp utili,2 camere,Etaj 1/10,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/olimpia-stadion/apartament-de-inchiriat-2-camere-X4PP10094?lista=2350118,"Timisoara, zona Olimpia-Stadion"
Complex - decomandat - centrala proprie - 370 euro,370,60 mp utili,2 camere,Etaj 4/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/complex-studentesc/apartament-de-inchiriat-2-camere-X9RO000EC?lista=2350118,"Timisoara, zona Complex Studentesc"
